Feature,Importance
numerical__balance,0.16192420065740584
numerical__age,0.14030129255923082
numerical__day,0.12246527875402023
numerical__campaign,0.0678885084741342
numerical__pdays,0.04047231903656
categorical__poutcome_success,0.03421403102151742
categorical__contact_unknown,0.026583846126033286
numerical__previous,0.022257507298629364
categorical__housing_no,0.01747568967085814
categorical__housing_yes,0.01745048767027024
categorical__contact_cellular,0.01720061103977724
categorical__education_secondary,0.014693684735151204
categorical__job_technician,0.013753985527982761
categorical__job_blue-collar,0.013276114107888136
categorical__education_tertiary,0.013121627667837388
categorical__month_may,0.013067239883843182
categorical__marital_married,0.01304134908305129
categorical__month_apr,0.012997269088173042
categorical__poutcome_unknown,0.012599804940392121
categorical__job_management,0.01246721038910818
categorical__month_aug,0.01237029840901998
categorical__job_admin.,0.01175073821502362
categorical__month_jul,0.01089178964643149
categorical__marital_single,0.010819128708382744
categorical__month_jun,0.01070825975413211
categorical__month_oct,0.0101081545888605
categorical__loan_yes,0.010029676102443628
categorical__education_primary,0.010026587941668911
categorical__job_services,0.009681478845141568
categorical__loan_no,0.009520749607069773
categorical__month_nov,0.00918094739111556
categorical__month_mar,0.008678971715147912
categorical__marital_divorced,0.008486031851175326
categorical__month_feb,0.007902890287338961
categorical__poutcome_failure,0.006661347356087925
categorical__job_self-employed,0.006432737728821257
categorical__job_retired,0.006201287992095469
categorical__education_unknown,0.005948075671962818
categorical__month_jan,0.005764179272874692
categorical__contact_telephone,0.0055560876418891915
categorical__job_entrepreneur,0.005536109658224298
categorical__job_unemployed,0.005523551351064716
categorical__month_sep,0.005260829446403682
categorical__job_student,0.004120239351114327
categorical__job_housemaid,0.004027309942570115
categorical__poutcome_other,0.003302625645305277
categorical__month_dec,0.002507956918254784
categorical__default_yes,0.0022330824202706373
categorical__default_no,0.002197941772141022
categorical__job_unknown,0.0013188770361037075
