job,count,sum,mean,subscription_rate
student,938,269,0.2867803837953092,28.678038379530918
retired,2264,516,0.22791519434628976,22.791519434628977
unemployed,1303,202,0.15502686108979277,15.502686108979278
management,9458,1301,0.13755550856417847,13.755550856417848
admin.,5171,631,0.12202668729452718,12.202668729452718
self-employed,1579,187,0.11842938568714376,11.842938568714375
unknown,288,34,0.11805555555555555,11.805555555555555
technician,7597,840,0.11056996182703699,11.056996182703699
services,4154,369,0.08883004333172845,8.883004333172845
housemaid,1240,109,0.08790322580645162,8.790322580645162
entrepreneur,1487,123,0.08271687962340282,8.271687962340282
blue-collar,9732,708,0.07274969173859433,7.274969173859433
